Indicator,Country code,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022
General government,US,"7.374.365,00","7.706.718,00","7.509.331,00","7.337.838,00","7.374.365,00"
Other sectors,US,"4.818.637,00","5.181.282,00","4.872.332,00","4.648.201,00","4.818.637,00"
Financial derivatives (other than reserves) and employee stock options,US,"2.473.846,00","2.189.923,00","2.334.242,00","2.708.540,00","2.473.846,00"
Other investment,US,"8.279.930,23","8.228.014,99","8.174.873,48","8.267.915,48","8.279.930,23"
Special drawing rights,US,"152.863,23","158.784,99","152.511,48","147.009,48","152.863,23"
Other debt instruments,US,"8.127.067,00","8.069.230,00","8.022.362,00","8.120.906,00","8.127.067,00"
Central bank,US,"1.374.994,00","1.269.107,00","1.290.937,00","1.317.406,00","1.374.994,00"
"Deposit-taking corporations, except the central bank",US,"2.924.327,00","2.918.372,00","2.911.420,00","2.942.703,00","2.924.327,00"
General government,US,"166.988,00","152.891,00","157.862,00","161.440,00","166.988,00"
Other sectors,US,"3.660.757,00","3.728.859,00","3.662.143,00","3.699.356,00","3.660.757,00"
Net international investment position,US,"-16.263.907,34","-18.340.499,70","-16.640.750,70","-16.859.325,02","-16.263.907,34"
Total,US,"412,00","366,00","347,00","300,00","412,00"
Domestic currency,US,"0,00","0,00","0,00","0,00","0,00"
Foreign currency,US,"412,00","366,00","347,00","300,00","412,00"
Euro,US,"412,00","366,00","347,00","275,00","412,00"
Yen,US,"0,00","0,00","0,00","0,00","0,00"
Other currencies,US,"0,00","0,00","0,00","25,00","0,00"
Unallocated,US,"0,00","0,00","0,00","0,00","0,00"
Of which one year or less,US,"412,00","366,00","347,00","300,00","412,00"
Domestic currency,US,"0,00","0,00","0,00","0,00","0,00"
Foreign currency,US,"412,00","366,00","347,00","300,00","412,00"
Euro,US,"412,00","366,00","347,00","275,00","412,00"
Yen,US,"0,00","0,00","0,00","0,00","0,00"
Other currencies,US,"0,00","0,00","0,00","25,00","0,00"
Unallocated,US,"0,00","0,00","0,00","0,00","0,00"
Total,US,"2.555.023,00","2.505.779,00","2.534.592,00","2.509.837,00","2.555.023,00"
Domestic currency,US,"2.084.665,00","2.042.869,00","2.089.241,00","2.091.653,00","2.084.665,00"
Foreign currency,US,"470.358,00","462.910,00","445.351,00","418.184,00","470.358,00"
Euro,US,"187.332,00","147.962,00","160.743,00","150.500,00","187.332,00"
Yen,US,"103.890,00","98.183,00","91.945,00","93.305,00","103.890,00"
Other currencies,US,"179.136,00","216.765,00","192.663,00","174.379,00","179.136,00"
Unallocated,US,"0,00","0,00","0,00","0,00","0,00"
Of which one year or less,US,"1.645.411,00","1.595.051,00","1.588.293,00","1.602.271,00","1.645.411,00"
